orignal_nepali,suspicious_nepali,label
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",दाह्री भएको मान्छे डोरी तान्छ,1
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",एउटा मानिस डोरीमा तान्छ।,1
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",एक जना मानिस आफ्नो दाह्री तान्छ,0
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",दाह्री भएको मानिस आफ्नो दाँतले कार तान्दै छ।,0
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",त्यो मान्छे क्लिन शेभ थियो।,0
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",दाह्री भएको मान्छे डोरीमा तानेको छ।,1
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",स्विमसुट लगाएको मान्छे डोरीमा झुल्दै।,0
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",एक जना मानिसले कालो शर्ट लगाएको छ,0
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",एउटा मानिस डोरीमा तान्दै छ।,1
"दाह्री भएको मानिस, रातो शर्ट लगाएको खैरो बाहुला र काम गर्ने पन्जा लगाएको, डोरीमा तान्दै।",मानिस दाह्री बढाउन सक्षम छ।,1
अनुहारको कपाल र रातो र खैरो रंगको शर्ट डोरीको टुक्रामा टाँसिएको मान्छे।,ओछ्यानमा एक जना मानिस नाङ्गो छ।,0
अनुहारको कपाल र रातो र खैरो रंगको शर्ट डोरीको टुक्रामा टाँसिएको मान्छे।,मानिसको अनुहारको कपाल छ।,1
हरियो हेडस्कार्फ र नीलो शर्ट लगाएकी एउटी मध्य-वयस्क ओरिएन्टल महिला विशाल मुस्कान फ्याँकिरहेकी छिन्।,मध्यम उमेरको ओरिएन्टल महिला हेर्दै छ,0
हरियो हेडस्कार्फ र नीलो शर्ट लगाएकी एउटी मध्य-वयस्क ओरिएन्टल महिला विशाल मुस्कान फ्याँकिरहेकी छिन्।,हरियो हेडस्कार्फ र नीलो शर्ट लगाएकी एउटी मध्यम उमेरकी ओरिएन्टल महिला विशाल मुस्कान चम्किरहेकी छिन्,1
नीलो टप र हरियो हेडस्कार्फमा एउटी एसियाली महिला पृष्ठभूमिमा डुङ्गालाई पङ्क्तिबद्ध गर्दा व्यापक रूपमा मुस्कुराउँदै।,एउटी एसियाली महिला मुस्कुराइरहेकी छिन् जबकि अर्की महिला डुङ्गा चलाउँदै छिन्।,1
नीलो टप र हरियो हेडस्कार्फमा एउटी एसियाली महिला पृष्ठभूमिमा डुङ्गालाई पङ्क्तिबद्ध गर्दा व्यापक रूपमा मुस्कुराउँदै।,एक एसियाली महिला कुकुरबाट भागिरहेकी छिन्।,0
एक डुङ्गा कार्यकर्ता लाइन सुरक्षित गर्दै।,एक कामदारले डुङ्गालाई केहि गर्दैछ।,1
एक डुङ्गा कार्यकर्ता लाइन सुरक्षित गर्दै।,डुङ्गाका कामदार समुन्द्रमा पौडी खेलिरहेका छन् ।,0
हार लगाएकी एउटी सानी केटी पौडी खेल्दै छिन्।,एउटी मोटी केटी किनारबाट डुब्दै छ,0
हार लगाएकी एउटी सानी केटी पौडी खेल्दै छिन्।,हार बोकेकी एउटी सानी केटी पानीमा छिन्,1
एक स्केटबोर्डर पूल मा स्केट्स।,एउटा स्केट पोखरीमा पौडी खेल्छ।,0
एक स्केटबोर्डर पूल मा स्केट्स।,एक स्केटर पूल मा छ।,1
"भारतीय वा पाकिस्तानी देखिने एक जोडी, पानीको छेउमा बाटोमा हिंड्दै, बच्चालाई डायपरमा बोकेकी आमा, मानवीय संस्था ""सेभ द चिल्ड्रेन"" को लोगोको साथ कम्बलमा बेरेकी बुबा।",एक मानिस युनिसेफको कम्बलमा बेरिएको छ।,0
"भारतीय वा पाकिस्तानी देखिने एक जोडी, पानीको छेउमा बाटोमा हिंड्दै, बच्चालाई डायपरमा बोकेकी आमा, मानवीय संस्था ""सेभ द चिल्ड्रेन"" को लोगोको साथ कम्बलमा बेरेकी बुबा।",बच्चा बोकेका एक जोडी पानीको छेउमा हिड्दै छन्।,1
"त्यहाँ एउटी महिलाले बच्चा बोकेकी छिन्, साथमा एक जना पुरुष पनि सेभ द चिल्ड्रेनको झोला बोकेकी छन्।",मानिसहरूको समूह एक थपको लागि पोज गर्दैछ।,1
"त्यहाँ एउटी महिलाले बच्चा बोकेकी छिन्, साथमा एक जना पुरुष पनि सेभ द चिल्ड्रेनको झोला बोकेकी छन्।",एक जना मानिस हवाईजहाज हेर्दै छ।,0
"बच्चा भएको परिवार, बुबाले बच्चाहरूलाई बचाउने चिन्ह लगाएका छन्।",तीन वयस्कहरू चित्रित छन्।,0
"बच्चा भएको परिवार, बुबाले बच्चाहरूलाई बचाउने चिन्ह लगाएका छन्।",एकजना मानिसले त्यसमा लेखिएको केही लगाएको छ।,1
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,तिनीहरू बाइक चलाउँछन्,0
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,एक विदेशी परिवार पानीको शरीरको साथ माटोको ट्रेलबाट हिंड्दै।,1
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,परिवारले पानीको प्रशंसा गरिरहेका छन्,1
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,जनता सडकमा गाडी चलाउँछन् ।,0
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,विदेशीहरूको परिवार पानीमा पौडी खेल्दै।,0
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,स्थानीयहरूको समूह जमेको खोलाको छेउमा फोहोर बाटोमा दौडन्छ।,0
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,विदेशीहरूको परिवार पानीको छेउमा हिंडिरहेको छ।,1
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,एउटा परिवार फोहोर बाटोमा हिँडिरहेको छ।,1
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,एउटा परिवार आफ्नो डिनर टेबलमा बोर्ड गेम खेल्छ।,0
एक विदेशी परिवार पानीको छेउमा फोहोर बाटोमा हिंडिरहेको छ।,त्यहाँ एक परिवार बाहिर हिंडिरहेको छ।,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",मानिसहरू संग्रहालयमा मूर्तिकलाहरू हेरिरहेका छन्।,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",मूर्तिहरूको छेउमा मानिसहरू छन्।,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",मूर्तिहरू नजिकै उभिरहेका मानिसहरू,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",तीन जना व्यक्ति विद्यालयको मेलामा चित्रकला हेर्दै छन्।,0
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",कोही उभिएका छैनन् ।,0
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",एक पुरुष र एक महिला उभिरहेका छन्।,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",यो एकल मूर्ति हो।,0
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",पुरुष र महिला पौंडी पोखरीमा उभिरहेका छन्।,0
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",नजिकै मूर्तिहरू छन्।,1
"एक पुरुष र एक महिला मूर्तिकलाको छेउमा उभिरहेका छन्, कुरा गरिरहेका छन् जबकि अर्को पुरुषले अन्य मूर्तिहरू हेरिरहेका छन्।",एक पुरुष र एक महिला बसिरहेका छन्।,0
लुगा लगाएका युवतीहरूको समूह फुटपाथमा घुम्दै।,सबै युवा केटीहरूले प्रथम पुरस्कार जिते,0
लुगा लगाएका युवतीहरूको समूह फुटपाथमा घुम्दै।,त्यहाँ केही समूहहरू छन् जसमध्ये एक युवती महिलाहरू पहिरनमा र्‍याम्प वाकको लागि टहलिरहेका छन्,1
स्ट्रिपेड टप र जीन्स लगाएका एक व्यक्तिले केही पाइलाहरूमा स्केटबोर्ड ट्रिक गर्दैछन् जबकि एक व्यक्ति जो उनको फोटो खिच्छन्।,एकजना मानिस स्केटबोर्डिङको फोटो खिचिरहेका छन्।,1
स्ट्रिपेड टप र जीन्स लगाएका एक व्यक्तिले केही पाइलाहरूमा स्केटबोर्ड ट्रिक गर्दैछन् जबकि एक व्यक्ति जो उनको फोटो खिच्छन्।,एकजना मानिस एक्लै आफ्नो स्कुटर चलाउँदै छन्,0
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एक व्यक्तिले स्केटबोर्डरको तस्बिर लिइरहेका छन् जुन एलियनले खिचेको छ।,0
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,फोटोग्राफरहरूले एक पुरुष स्केटबोर्डरलाई परित्याग गरिएको भवन भित्र चालहरू प्रदर्शन गर्दै खिच्छन्।,0
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एउटी महिला आफ्नो प्रेमीसँग स्केटबोर्डिङ गर्दैछिन्।,0
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एक व्यक्ति एक स्केटबोर्डर को तस्वीर लिदै छ जो एक चाल प्रदर्शन गरिरहेको छ।,1
बाहिरको सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गरिरहेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एक पुरुष विवाहको फोटो खिच्दै।,0
बाहिरको सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गरिरहेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एक व्यक्ति स्केटबोर्डिङ चालहरूको फोटो खिच्दै छ।,1
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,मानिसहरू बाहिर फोटोहरू खिच्छन् जब एक व्यक्तिले रोमाञ्चक स्केटबोर्डिङ चालहरू प्रदर्शन गर्दछ।,1
बाहिरको सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गरिरहेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एउटा मान्छेले अर्को मान्छेको फोटो खिचिरहेको छ।,1
बाहिरको सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गरिरहेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,दुई जना मानिस पानीको स्लाइडबाट तल झरिरहेका छन्।,0
बाहिर सिँढीको छोटो उडान माथि मिडहावामा स्केटबोर्डिङ किक फ्लिप गर्दै गरेको व्यक्तिको आफ्नै फोटो खिच्दै फोटोको अग्रभूमिमा बसिरहेको एक व्यक्ति।,एक व्यक्तिले स्केटबोर्डर चालहरू गर्दै फोटो खिच्दै।,1
एकजना बाइकर बाइक लिएर दौडिरहेका छन् भने अर्का उनको वरिपरि घुमिरहेका छन्।,जनताले गाडी चलाउँछन्,0
एकजना बाइकर बाइक लिएर दौडिरहेका छन् भने अर्का उनको वरिपरि घुमिरहेका छन्।,मान्छेसँग बाइक छ,1
"दुईजना साइकल लिएर, एकजना अगाडि मोटरसाइकल लिएर दौडिरहेका छन् र एकजना पछाडी चलिरहेका छन्।",मलमा आइसक्रिम कोन खाँदै दुई व्यक्ति।,0
"दुईजना साइकल लिएर, एकजना अगाडि मोटरसाइकल लिएर दौडिरहेका छन् र एकजना पछाडी चलिरहेका छन्।",एक व्यक्ति उनीहरूको बाइकको छेउमा दौडिरहेको छ र तिनीहरूको पछाडि बाइक सवार व्यक्ति।,1
एक युवक फोटो खिच्ने क्रममा सिढीबाट तल स्केटबोर्डमा ट्रिक गर्दै।,फोटो खिच्ने क्रममा र्‍याम्प पार गर्दै एक युवक रोलर ब्लेड।,0
एक युवक फोटो खिच्ने क्रममा सिढीबाट तल स्केटबोर्डमा ट्रिक गर्दै।,एक व्यक्ति फोटो खिचिरहेको बेला उसले आफ्नो स्केटबोर्डमा सीढीहरू तल ट्रिक गर्छ।,1
"कालो र सेतो धारीदार शर्ट लगाएकी एउटी केटी र फूलको गुच्छा समातेर, पाइलामा कुरा गरिरहेका दुई जना सज्जनहरूलाई गम्भीर रूपमा हेर्छिन्।",गम्भिर अनुहार भएकी एउटी केटी दुई जना केटासँग बाहिर पाइला अगाडि उभिरहेकी छिन्।,1
"कालो र सेतो धारीदार शर्ट लगाएकी एउटी केटी र फूलको गुच्छा समातेर, पाइलामा कुरा गरिरहेका दुई जना सज्जनहरूलाई गम्भीरतापूर्वक हेर्छिन्।",तीन जना केटाहरू हातमा फूल लिएर घरभित्र उभिरहेका छन्।,0
सडकमा गर्वका साथ हिँडिरहेको मान्छे।,मानिस थिएटरमा अवतार हेर्दै छ।,0
सडकमा गर्वका साथ हिँडिरहेको मान्छे।,बाहिर एउटा मान्छे छ।,1
चार किशोर केटाहरू पौंडी पोखरीमा क्याननबल गर्दै छन्।,युवाहरूको एउटा समूह धेरै पानी छर्किरहेको छ।,1
चार किशोर केटाहरू पौंडी पोखरीमा क्याननबल गर्दै छन्।,केही केटाहरू रेस्टुरेन्टमा पिज्जा खाइरहेका छन्।,0
पानीको छेउमा घाँसमा उभिएका तीन जना मानिस टेबलमा केही हेरिरहेका छन्।,तीन जना बाहिर छन् ।,1
पानीको छेउमा घाँसमा उभिएका तीन जना मानिस टेबलमा केही हेरिरहेका छन्।,तीन जना मानिसहरु घरभित्रै Foosball खेलिरहेका छन्।,0
एउटी महिला हातमा खानाको नीलो टोकरी लिएर बाहिरी ग्रिलको पछाडि उभिरहेकी छिन्।,हातमा खानाको नीलो टोकरी लिएर बाहिर ग्रिल पछाडि उभिएकी महिला।,1
एउटी महिला हातमा खानाको नीलो टोकरी लिएर बाहिरी ग्रिलको पछाडि उभिरहेकी छिन्।,चर्चको बाहिर इस्टर अण्डाले भरिएको नीलो टोकरी लिएकी एउटी महिला।,0
एउटा ल्यान्ड रोभर गहिरो पोखरी हुँदै बाटो बनाउँछ।,पसलमा गाडी छ ।,0
एउटा ल्यान्ड रोभर गहिरो पोखरी हुँदै बाटो बनाउँछ।,एउटा कार पानीमा गुड्छ।,1
धेरै मानिसहरू यार्डमा आराम गर्छन्।,मानिसहरूको एक समूह बाहिर छ।,1
धेरै मानिसहरू यार्डमा आराम गर्छन्।,मानिसहरू आफ्नो बैठक कोठामा टिभी हेर्छन्।,0
पानीमा डुबेको कार।,एउटा कार बाढी आएको छ।,1
पानीमा डुबेको कार।,एउटा ट्रक घाममा देशको सडकमा चलिरहेको छ।,0
कालो पहिरन लगाएका एक व्यक्ति कन्सर्टमा इलेक्ट्रिक गितार बजाउँदै छन्।,एकजना मानिस गितार बजाइरहेका छन्।,1
कालो पहिरन लगाएका एक व्यक्ति कन्सर्टमा इलेक्ट्रिक गितार बजाउँदै छन्।,एउटा मान्छे पियानो बजाउँदै छ।,0
जंगली कपाल भएको मानिसले गितार केन्द्रको स्टेज बजाउँदै एउटा कार्यक्रमलाई ढाक्छ।,टाउको मान्छेले ड्रम बजायो।,0
जंगली कपाल भएको मानिसले गितार केन्द्रको स्टेज बजाउँदै एउटा कार्यक्रमलाई ढाक्छ।,एक केटा आफ्नो गितार संग स्टेज मा उभिएको छ।,1
पावेल र बजार र बे र टेलर लेबल गरिएको ट्रली कारमा महिला र बच्चा,महिला ट्रलीमा छिन्।,1
पावेल र बजार र बे र टेलर लेबल गरिएको ट्रली कारमा महिला र बच्चा,महिला र बच्चा सबवे ट्रेनमा छन्।,0
"दुई महिला चिकित्सा पेशेवर, एक अफ्रिकी अमेरिकी र एक सेतो, अस्पतालमा कागजी कार्य हेर्दै।",सहकर्मीहरू काम छोडेर खाजाको लागि ड्राइभ गर्दैछन्।,0
"दुई महिला चिकित्सा पेशेवर, एक अफ्रिकी अमेरिकी र एक सेतो, अस्पतालमा कागजी कार्य हेर्दै।",काममा मान्छेहरू छन्।,1
दुईजना युवतीहरू बाइन्डरबाट पढ्दैछन्।,केटीहरू चलचित्र हेर्दै छन्।,0
दुईजना युवतीहरू बाइन्डरबाट पढ्दैछन्।,कतिपय महिला पढ्दैछन् ।,1
शब्दहरू र भित्तिचित्रहरूले चित्रित ईंटको पर्खालबाट टाढा रहेको एक व्यक्ति।,एउटा मानिस बसेर भित्तामा भित्तिचित्र पढ्दैछ।,0
शब्दहरू र भित्तिचित्रहरूले चित्रित ईंटको पर्खालबाट टाढा रहेको एक व्यक्ति।,इट्टाको पर्खालमा भित्तिचित्र।,1
ट्रलीमा चढ्दा रेलिङमा समातिरहेका एक महिला र एक बालक।,जनताले कुनै पनि कुरालाई थाकेका छैनन् ।,0
ट्रलीमा चढ्दा रेलिङमा समातिरहेका एक महिला र एक बालक।,जनताले रेल समातेका छन् ।,1
धारीदार पोलो शर्ट लगाएको मान्छे इशारा गर्दै मुस्कुराउँदै छ।,मानिस पौडी खेलिरहेको छ,0
धारीदार पोलो शर्ट लगाएको मान्छे इशारा गर्दै मुस्कुराउँदै छ।,मान्छे खुसी देखिन्छ,1
दर्शकहरूको लागि साइकल जम्प ट्रिक प्रदर्शन गर्दै एक केटा।,टोनी हक एक स्केटिङ चाल प्रदर्शन गर्दै हुनुहुन्छ,0
दर्शकहरूको लागि साइकल जम्प ट्रिक प्रदर्शन गर्दै एक केटा।,एक केटा बाइक चाल प्रदर्शन गर्दै छ,1
नीलो पोशाकको कोटमा खरानी कपाल भएको महिलाले आफ्नो टाउकोमा केही सन्तुलन राख्छिन्।,महिलाले कोट लगाएकी छिन्।,1
नीलो पोशाकको कोटमा खरानी कपाल भएको महिलाले आफ्नो टाउकोमा केही सन्तुलन राख्छिन्।,महिला आफ्नो गोरो कपाल मन पर्छ।,0
दुई बालबालिका बाहिर मैदानमा खेल्दै।,बालबालिका बाहिर खेलिरहेका छन् ।,1
दुई बालबालिका बाहिर मैदानमा खेल्दै।,दुई बच्चाहरू आफ्नो डेस्कमा पढिरहेका छन्।,0
"एकजना मानिस भित्र बसेर ब्यान्जो बजाउँछन्, बाहिर उनको पछाडि रूखहरू छन्।",एकजना मानिस बाहिर दौडिन्छन्।,0
"एकजना मानिस भित्र बसेर ब्यान्जो बजाउँछन्, बाहिर उनको पछाडि रूखहरू छन्।",घर भित्र बसिरहेको एक पुरुष।,1
"दुई बच्चाहरू, रंगीन पोशाकमा, बीचमा ठूलो ढुङ्गाको साथ मैदानमा खेल्दै।",ढुङ्गाहरूसँग खेल्नु हुँदैन,0
"दुई बच्चाहरू, रंगीन पोशाकमा, बीचमा ठूलो ढुङ्गाको साथ मैदानमा खेल्दै।",दुई बच्चा मैदानमा ठूलो ढुङ्गासँग खेलिरहेका छन्,1
दुई युवतीहरू बाहिर शहरी वातावरणमा खेलिरहेका छन्।,दुई केटी बाहिर खेलिरहेका छन्।,1
दुई युवतीहरू बाहिर शहरी वातावरणमा खेलिरहेका छन्।,"केही केटीहरू फुटपाथमा दौडिरहेका छन्, केही पार्क गरिएका कारहरूको छेउमा।",0
"टोपी लगाएका दुई बच्चाहरू खुला, चट्टानी मैदानमा खेलिरहेका छन्।",छोराछोरी घरमै खाना खाइरहेका छन् ।,0
"टोपी लगाएका दुई बच्चाहरू खुला, चट्टानी मैदानमा खेलिरहेका छन्।",बच्चाहरू ढुङ्गाको मैदानमा खेलिरहेका छन्।,1
हरियो र गुलाबी लुगा लगाएकी एउटी महिला सेतो प्यान्ट लगाएको नीलो टप लगाएको कसैसँग नाच्दै छिन्।,हरियो र गुलाबी रंगको महिला नाच्दै छिन्।,1
हरियो र गुलाबी लुगा लगाएकी एउटी महिला सेतो प्यान्ट लगाएको नीलो टप लगाएको कसैसँग नाच्दै छिन्।,नाच्ने महिला आफ्नो सुत्ने कोठामा एक्लै छिन् ।,0
सुनको पाइन्ट लगाएको मान्छे क्यामेरा हेर्दै।,मान्छे क्यामेरा हेर्दै।,1
सुनको पाइन्ट लगाएको मान्छे क्यामेरा हेर्दै।,मानिस हलमा जाँदैछ।,0
सुनको स्कर्ट लगाएको मान्छे कम्प्युटरको अगाडि बसिरहेको छ।,सुनको स्कर्ट लगाएको मानिस आफ्नो कम्प्युटरमा बसेर कम्प्युटर स्क्रिन हेर्दै।,1
सुनको स्कर्ट लगाएको मान्छे कम्प्युटरको अगाडि बसिरहेको छ।,नीलो प्यान्ट लगाएको मान्छे बसेर टेलिभिजन हेर्दै।,0
कम्प्युटर डेस्कमा बसिरहेको कालो टी-शर्ट लगाएको मान्छे।,मानिस कम्प्युटरमा काम गर्दैछ,1
कम्प्युटर डेस्कमा बसिरहेको कालो टी-शर्ट लगाएको मान्छे।,मानिसले काम बन्द गर्यो र दिनभरि चिडियाखानामा थियो,0
कालो टि-सर्ट लगाएको दाह्री भएको मानिस कम्प्युटर समातेर डेस्कको अगाडि बसिरहेको छ।,एक मानिस वर्षामा उभिरहेको छ।,0
कालो टि-सर्ट लगाएको दाह्री भएको मानिस कम्प्युटर समातेर डेस्कको अगाडि बसिरहेको छ।,एक मान्छे आफ्नो कम्प्युटर संग पर्खिरहेको।,1
"कम्प्यूटर डेस्कमा बसेर सुनको फोइल्स स्कर्ट लगाएको मानिस, आफ्नो हात अनुहारमा उठाएर क्यामेरालाई हेर्छ।",एक मानिस आफ्नो वेबक्याम हेर्दै छ,1
"कम्प्यूटर डेस्कमा बसेर सुनको फोइल्स स्कर्ट लगाएको मानिस, आफ्नो हात अनुहारमा उठाएर क्यामेरालाई हेर्छ।",एकजना मानिसले आफ्नो जिब्रो बाहिर निकालिरहेको छ,0
टाउकोमा कचौरा लिएर टेबलमा बसेकी एउटी जवान केटी,एउटी युवतीको टाउकोमा कचौरा छ,1
टाउकोमा कचौरा लिएर टेबलमा बसेकी एउटी जवान केटी,एउटा मानिस आफ्नो कारमा अनाज खाँदै छ,0
एक जना मानिस राती आगोको डण्डी लिएर नाच्छन्।,महिलाले हुला नृत्य गर्छिन्,0
एक जना मानिस राती आगोको डण्डी लिएर नाच्छन्।,मानिस नाचिरहेको छ,1
डाक्टरले बच्चाको पेट जाँच गर्छ।,बच्चाको चेकअप भइरहेको छ।,1
डाक्टरले बच्चाको पेट जाँच गर्छ।,डाक्टरले बच्चाको मुख भित्र हेरिरहेका छन्।,0
जवान गोरा महिला आफ्नो खुट्टा पानीको झरनामा राख्दै,एउटी जवान गोरा महिला समुद्र तटको कुर्सीमा बसिरहेकी छिन्।,0
जवान गोरा महिला आफ्नो खुट्टा पानीको झरनामा राख्दै,एक व्यक्तिले आफ्नो खुट्टा पानीमा डुबाउँदैछ।,1
एउटी युवतीले झरनामा आफ्नो खुट्टा टाँस्ने प्रयास गरिरहेकी छिन्।,महिला ट्रेनमा सवार छिन्।,0
